Concise description,Entity,Amount (if any),Timeline (if any),Exact quotes,Reasoning
Deploy security forces for gang violence,Minister of Police / SANDF,,Within the next few days,"I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.",To address the immediate threat of gang violence and illegal mining in specific provinces.
Recruit additional police officers,SAPS,5 500 officers,This year,"We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers",To increase police visibility and capacity to fight crime.
Establish National Illicit Economy Disruption Programme,Government,,,"We are establishing a National Illicit Economy Disruption Programme that brings together key state agencies and other stakeholders, including the private sector.",To address the threat of illegal and counterfeit goods to jobs and industry.
Target high-risk illicit sectors with AI,Government,,,"Through effective use of data analytics and Artificial Intelligence, we will target high-risk sectors like tobacco, fuel, alcohol and other counterfeit products.",To improve enforcement against counterfeit products using technology.
Re-vet Senior Police Management,State Security Agency,,,"The State Security Agency will re-vet the Senior Management of the SAPS and Metro Police departments. The vetting process will include lifestyle audits.",To root out corruption and ensuring ethical leadership in the police service.
Establish criminal justice reform initiative,Government,,,"Drawing on the success of Operation Vulindlela... we will use a similar approach to establish a hard-hitting new criminal justice reform initiative.",To crack down on organised crime, corruption, and illicit firearms trade.
Finalise anti-corruption body approach,Government,,,"We will finalise government’s approach to the recommendation of the National Anti-Corruption Advisory Council on the establishment of a permanent, independent, overarching anti-corruption body.",To create a permanent and independent institution to fight corruption.
Introduce Whistle-Blower Protection Bill,Government / Parliament,,,"The Whistle-Blower Protection Bill will be introduced in Parliament.",To protect and support individuals who expose corruption.
Finalise Public Procurement Act regulations,Government,,By mid-2026,"Measures will include... the finalisation of new Public Procurement Act regulations by mid-2026.",To restructure the procurement system to end corruption.
Fund water and sanitation infrastructure,Government,R156 billion,Next three years,"We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.",To ensure long-term water security by building and upgrading infrastructure.
Establish National Water Resource Infrastructure Agency,Government,,,"we are in the final stages of establishing a National Water Resource Infrastructure Agency",To effectively manage and mobilise funding for the country's water infrastructure.
Establish National Water Crisis Committee,President,,,"we will now elevate our response to the water crisis to a National Water Crisis Committee, which I will chair.",To coordinate a focused national response to the water crisis.
Charge Municipal Managers for water failures,Government,,,"We will now move to lay charges against Municipal Managers in their personal capacity for violating the National Water Act of 1998.",To hold officials personally accountable for failing to provide water services.
Incentive for metros to reform services,Government,R54 billion,,"we have introduced a new R54 billion incentive for metros to reform their water, sanitation and electricity services.",To ensure revenue is reinvested into maintenance of infrastructure.
Finalise White Paper on Local Government,Government,,Coming months,"we will, in the coming months finalise a revised White Paper on Local Government.",To address the root causes of dysfunction and re-imagine local government.
Public infrastructure investment,Government,R1 trillion,Over three years,"Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.",To drive economic growth and job creation through infrastructure.
Establish specialised commercial courts,Government / Judiciary,,,"To prevent undue delays in critical projects, we will establish specialised courts for commercial matters",To accelerate legal outcomes for matters affecting the economy.
Establish State Property Company,Government,,This year,"This year, we will begin work to establish a professional State Property Company",To professionally manage state land and buildings for growth.
Establish independent transmission entity,Government,,,"We are restructuring Eskom and establishing a fully independent state-owned transmission entity.",To ensure open access to the grid and transparent market operation.
Commence independent transmission projects,Government,,This year,"this year, we will commence the first round of independent transmission projects",To enable private investment in expanding the national grid.
Eradicate load reduction,Government,,By next year,"We will work in each province... with the objective of eradicating load reduction by next year.",To improve electricity reliability and address local infrastructure failures.
Initiate port and rail PPPs,Government,,Later this year,"Later this year, we will initiate major public-private partnerships in our port terminals and rail corridors",To mobilise private investment and expertise in logistics.
Issue RFP for high-speed rail,Government,,,"We are preparing to send out a Request For Proposals, which will introduce a new era of long-distance rail travel in South Africa.",To introduce high-speed rail travel on key routes.
Deploy new Extension Officers,Government,10 000 officers,,"We will deploy 10 000 new Extension Officers to support farmers",To improve agricultural productivity and support farmers.
Vaccinate national cattle herd,Government,14 million cattle (28m vaccines),Next 12 months,"We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.",To combat the foot-and-mouth disease outbreak.
Tax deduction for new energy vehicles,Government,150% deduction,From March this year,"From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles",To support the manufacturing of green products and electric vehicles.
Investment raising target,Government,R2 trillion,Next five years,"We have now set ourselves a target of raising R2 trillion in new investments over the next five years.",To sustain the momentum of investment into the economy.
Funding for SMEs,Government,R2.5 billion funding + R1 billion guarantees,This year,"This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.",To support small business growth and job creation.
Increase employment equity for disabilities,Government,7% target,By 2030,"implementing decision to increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030",To ensure greater inclusion of persons with disabilities in the public sector.
Increase skills development levy return,Government,40% return,,"we will increase the proportion of the skills development levy returned to employers, restoring it to its original level of 40%.",To support effective workplace-based learning and training.
Mission to end child stunting,Government,,By 2030,"This year, we will embark on a mission to end child stunting by 2030",To address malnutrition and its long-term effects on children.
Redesign SRD Grant,Government,,This year,"This year, we will redesign the grant to more effectively support livelihoods",To link social support with skills development and work opportunities.
Rollout of Lenacapavir,Government,,,"we will be undertaking a massive rollout of Lenacapavir",To prevent HIV transmission with a new long-acting injection.
Hire additional labour inspectors,Government,10 000 inspectors,This year,"we will hire an additional 10 000 labour inspectors this year.",To enforce immigration and labour laws and check visa compliance.
