"Description","Who/Organisation","Amount","Timeline","Exact Quotes","Reasoning"
"Progressive realization of socio-economic rights (housing, healthcare, food, water, etc.)","Government (via Constitutional Mandate)","","Progressive","It is a Constitution that calls on us not only to redress the injustices of the past, but to progressively realise the right of all South Africans to housing, health care, food, water, social security, education and a better and prosperous life for all.","Identified as a commitment because the President explicitly invokes the Constitutional mandate ('calls on us') as a binding directive for state action."
"Upholding the rights and dignity of marginalized groups (Persons with disabilities, LGBTQI+)","Government","","Ongoing","Our strength comes from our steadfast commitment to uphold the rights and affirm the dignity of people in our society who face prejudice and discrimination, including persons with disabilities and members of the LGBTQI+ community.","Qualifies as a commitment through the use of the explicit term 'steadfast commitment' applied to a specific social policy goal."
"National Infrastructure Investment (Roads, bridges, rail, ports, dams, etc.)","Government","R1 trillion","Three years","Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.","Constitutes a formal fiscal pledge due to the use of the verb 'committed' paired with a specific monetary value (R1 trillion) and a defined duration (three years)."
"Deployment of security forces (SANDF) to tackle gang violence and illegal mining","Presidency / Minister of Police / SANDF","Costs to be informed to Parliament","Within the next few days","I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.","Identified as an executive directive through the command 'I have directed' and the inclusion of a concrete, immediate timeline ('within the next few days')."
"Re-vetting and lifestyle audits for senior police management","State Security Agency / SAPS / Metro Police","","Immediate","The State Security Agency will re-vet the Senior Management of the SAPS and Metro Police departments. The vetting process will include lifestyle audits.","Confirmed as a commitment by the use of the definitive future tense 'will' to mandate specific institutional oversight actions."
"Introduction of the Whistle-Blower Protection Bill","Parliament / Government","","Upcoming legislative session","The Whistle-Blower Protection Bill will be introduced in Parliament. Among other things, this will criminalise retaliation and provide psychosocial, legal and financial support to whistle-blowers.","Qualifies as a legislative commitment via the affirmative 'will be introduced' phrasing regarding specific new law."
"Finalization of new Public Procurement Act regulations","Government","","By mid-2026","Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.","Identified as a commitment due to the combination of a specific action ('finalisation') and a clear deadline ('by mid-2026')."
"Recruitment of additional police officers","SAPS / Government","5,500 additional police officers","This year","We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers, adding to the 20 000 new officers we announced in previous SoNAs.","Constitutes a measurable performance target through the use of a specific numerical value (5,500) and a defined period ('this year')."
"Public funding for water and sanitation infrastructure","Government / Ministry of Water and Sanitation","R156 billion","Next three years","We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.","Flagged as a commitment because of the verb 'committed' linked to a specific financial allocation (R156 billion) and a set multi-year timeline."
"Establishment of a National Water Crisis Committee","President (Chair) / National Government","","Immediate","Using the same approach, we will now elevate our response to the water crisis to a National Water Crisis Committee, which I will chair.","Identified as a commitment to governance reform through the directive 'we will now elevate' and the personal assumption of responsibility by the President."
"Incentive for metros to reform water, sanitation, and electricity services","Metros / National Government","R54 billion","N/A","we have introduced a new R54 billion incentive for metros to reform their water, sanitation and electricity services.","Recognized as a financial commitment through the announcement of a specific new fiscal 'incentive' valued at R54 billion."
"Finalization of a revised White Paper on Local Government","Government","","In the coming months","Learning from our experience over the past 30 years, we will, in the coming months finalise a revised White Paper on Local Government.","Confirmed as a commitment by the use of the definitive 'will' applied to a specific policy milestone and an estimated timeline ('in the coming months')."
"Establishment of specialized courts for commercial matters","Department of Justice / Judiciary","","N/A","To prevent undue delays in critical projects, we will establish specialised courts for commercial matters with dedicated judges and dedicated court rolls...","Qualifies as a judicial reform commitment through the use of the mandatory 'will establish' phrasing."
"Establishment of a professional State Property Company","Government","88,000 buildings and 5 million hectares","This year","This year, we will begin work to establish a professional State Property Company to transform the 88 000 buildings and five million hectares of land owned by the State...","Identified as a structural reform commitment due to the directive 'will begin work' and the inclusion of specific asset volumes."
"Renewable energy supply target (40% by 2030)","Government / Energy sector","40% of energy supply","By 2030","By 2030, more than 40% of our energy supply will come from cheap, clean and renewable energy sources.","Constitutes a formal strategic target because it pairs a measurable percentage (40%) with a hard deadline (2030)."
"Eradication of load reduction across provinces","Government / Eskom","","By next year","We will work in each province to address transformer overloading, illegal connections and equipment failure with the objective of eradicating load reduction by next year.","Flagged as a commitment through the statement of a specific 'objective' and a concrete deadline ('by next year')."
"Initiation of high-speed rail corridors","Government / Transport Department","","Upcoming Request For Proposals","We are preparing to send out a Request For Proposals, which will introduce a new era of long-distance rail travel in South Africa.","Confirmed as a commitment to infrastructure expansion through the initiation of the formal RFP process ('preparing to send out')."
"Deployment of Agricultural Extension Officers","Department of Agriculture","10,000 new Extension Officers","N/A","We will deploy 10 000 new Extension Officers to support farmers and improve agricultural productivity.","Recognized as a human resource commitment due to the use of a specific numerical target (10,000) and the directive verb 'will deploy'."
"National cattle vaccination against foot-and-mouth disease","State / Department of Agriculture","14 million cattle (28 million vaccines)","Next 12 months","We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.","Identified as an emergency commitment through the phrase 'We have decided' combined with specific volume (28 million vaccines) and time (12 months)."
