"Concise description","Entity (Who made it/Organization linked)","Amount (if mentioned)","Timeline (if mentioned)","Exact quotes","Reasoning"
"Public investment in building and maintaining national infrastructure.","Government of South Africa","More than R1 trillion","Over three years","Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.","Identified as a major fiscal commitment for the medium term to drive growth and productivity."
"Investment in water and sanitation infrastructure.","Government of South Africa","More than R156 billion","Over the next three years","We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.","Specific sectoral allocation to address the national water crisis."
"Deployment of the South African National Defence Force (SANDF) to support police in tackling gang violence and illegal mining.","The President / SANDF / SAPS","Not specified","Within the next few days (tactical plan development)","I am deploying the South African National Defence Force (SANDF) to support the police, as we did to great effect with illegal mining.
I have directed the Minister of Police and the SANDF to develop a tactical plan where our security forces should be deployed within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.","Direct executive action with immediate operational mandate for public safety."
"Recruitment of additional police officers to increase 'boots on the ground'.","South African Police Service (SAPS)","5,500 additional police officers","This year (2026)","We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers, adding to the 20 000 new officers we announced in previous SoNAs.","Measurable human resource commitment to strengthen law enforcement."
"Raising new investments over the next five years.","Government of South Africa","R2 trillion","Over the next five years","We have now set ourselves a target of raising R2 trillion in new investments over the next five years.","A high-level economic target following the success of previous investment conferences."
"Funding and guarantees for small and medium enterprises (SMEs).","Government of South Africa","R2.5 billion in funding and R1 billion in guarantees","This year (2026)","This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.","Direct financial support commitment to stimulate the SME sector."
"Vaccination of the national cattle herd against Foot-and-Mouth Disease (FMD).","State / Department of Agriculture","28 million vaccines for 14 million cattle","Next 12 months","We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.","Emergency response to a national disaster affecting the agricultural economy."
"Tax deduction for investment in New Energy Vehicles (NEVs).","National Treasury / Government","150% tax deduction","From March this year (2026)","From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles, while supporting the local production of batteries.","Incentive-based commitment to pivot the economy towards green growth."
"Incentive for metros to reform water, sanitation, and electricity services.","Government of South Africa","R54 billion","Introduced/Current","we have introduced a new R54 billion incentive for metros to reform their water, sanitation and electricity services.","Financial mechanism to drive local government reform and infrastructure maintenance."
"Targeting energy supply from renewable sources.","Government of South Africa","More than 40% of energy supply","By 2030","By 2030, more than 40% of our energy supply will come from cheap, clean and renewable energy sources.","Long-term policy commitment to energy security and decarbonization."
"Employment equity and preferential procurement targets for persons with disabilities.","Public Service / All government and public entities","7% target","By 2030 (Employment) / Immediate (Procurement)","decision to increase employment equity targets of persons with disabilities in the Public Service to 7% by 2030, and to mandate a 7% preferential procurement target across all government and public entities.","Social justice commitment to ensure inclusivity in the economy and state."
"Hiring of additional labour inspectors for enforcement of immigration and labour laws.","Department of Employment and Labour","10,000 additional labour inspectors","This year (2026)","To tighten enforcement, we will hire an additional 10 000 labour inspectors this year.","Operational commitment to improve regulatory compliance and border security."
"Finalization of new Public Procurement Act regulations.","Government of South Africa","Not specified","By mid-2026","Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.","Legislative milestone to reform the procurement system and combat corruption."
"Launch of a Digital ID and digitisation of government services.","Department of Home Affairs (DHA)","Not specified","This year (2026)","This year, the DHA will launch a Digital ID to enable safe and secure use of digital services for all South Africans.","Technological commitment to modernize the state and improve service delivery."
"Eradication of load reduction through transformer and connection repairs.","Government / Eskom / Provinces","Not specified","By next year (2027)","We will work in each province to address transformer overloading, illegal connections and equipment failure with the objective of eradicating load reduction by next year.","Specific goal to resolve localized energy supply interruptions."
"Extension of the Electronic Travel Authorisation (ETA) System.","Department of Home Affairs (DHA)","Not specified","In the coming year","In the coming year, we will extend the Electronic Travel Authorisation System to all countries that require a visa, enabling applications for tourists to be processed digitally within 24 hours.","Digital reform to boost tourism and streamline immigration."
"Elimination of child stunting.","Government of South Africa","Not specified","By 2030","This year, we will embark on a mission to end child stunting by 2030 and tackle malnutrition among young children, in line with the National Strategy to Accelerate Action for Children.","Health and social welfare commitment to address a long-term developmental crisis."
"Redesign of the Social Relief of Distress (SRD) Grant.","Government / SASSA","Not specified","This year (2026)","This year, we will redesign the grant to more effectively support livelihoods, skills development, work opportunities and productive activity.","Reform of a critical social protection mechanism to improve effectiveness."
"Troop withdrawal from the UN Mission in the Democratic Republic of the Congo (DRC).","SANDF / Government of South Africa","Not specified","Requested (Pending UN approval)","We have requested the UN to allow us to withdraw our troops from the UN Mission in the Democratic Republic of the Congo with a view to consolidating our Defence Force.","Strategic defense decision to consolidate national forces."
"Allocation for District Six restoration construction (Phase 4).","Government of South Africa","R500 million","Proceeding (Current phase)","With R500 million allocated to this work, we are proceeding with Phase 4 of construction. The restoration of District Six is a goal that we all seek","Land restitution commitment to redress historical injustices."
"Restoring the proportion of the skills development levy returned to employers.","Government of South Africa","40%","Not specified","To support effective workplace-based learning, we will increase the proportion of the skills development levy returned to employers, restoring it to its original level of 40%.","Policy change to incentivize industry participation in skills development."
"Expansion of the National Dialogue process.","Government / Eminent Persons Group","Not specified","This year (2026)","This year, the National Dialogue process will spread across South Africa, reaching every community, every school, every university and college and every part of our society.","Commitment to national consensus-building and public engagement."
